trade_date,ticker,name,action,shares,price_krw,sector,region,asset_group,funding_source,notes
2015-01-01,2328,PICC,buy,3880,1563,Insurance,해외,Non-US,new_deposit,날짜·가격 근사치 (평단가 기준)
2021-10-28,MSFT,Microsoft,buy,1,361148,Tech,해외,US individual,new_deposit,
2021-11-23,MSFT,Microsoft,buy,1,405023,Tech,해외,US individual,new_deposit,
2022-02-25,MSFT,Microsoft,buy,5,346976,Tech,해외,US individual,new_deposit,
2022-08-09,MSFT,Microsoft,buy,1,369928,Tech,해외,US individual,new_deposit,
2022-08-10,MSFT,Microsoft,buy,1,363778,Tech,해외,US individual,new_deposit,
2023-08-09,GOOGL,Google,buy,14,239188,Tech,해외,US individual,new_deposit,
2023-11-09,385560,Korea Bond 30yr,buy,20,61950,Bond,한국,Bond,new_deposit,
2023-11-10,385560,Korea Bond 30yr,buy,15,63800,Bond,한국,Bond,new_deposit,
2023-11-14,385560,Korea Bond 30yr,buy,20,64170,Bond,한국,Bond,new_deposit,
2023-11-17,385560,Korea Bond 30yr,buy,13,65785,Bond,한국,Bond,new_deposit,
2023-11-23,102110,KOSPI200,buy,56,37272,Korea Index,한국,Korea Index,new_deposit,
2024-02-21,385560,Korea Bond 30yr,sell,68,71400,Bond,한국,Bond,new_deposit,
2024-04-25,MSFT,Microsoft,sell,5,550637,Tech,해외,US individual,new_deposit,
2024-05-01,411060,GOLD ETF,buy,204,14411,Base Material,한국,Base Material,new_deposit,
2024-05-20,379780,S&P500,buy,170,15649,US Index,한국,US Index,new_deposit,
2024-05-21,MSFT,Microsoft,buy,2,577818,Tech,해외,US individual,new_deposit,
2024-05-21,AAPL,Apple,buy,4,260000,Tech,해외,US individual,new_deposit,
2024-06-14,MSFT,Microsoft,buy,1,605333,Tech,해외,US individual,new_deposit,
2024-06-14,AAPL,Apple,buy,5,301345,Tech,해외,US individual,new_deposit,
2024-06-15,379780,S&P500,buy,60,16190,US Index,한국,US Index,new_deposit,
2024-06-17,385560,Korea Bond 30yr,buy,8,72905,Bond,한국,Bond,new_deposit,
2024-06-18,385560,Korea Bond 30yr,buy,10,73185,Bond,한국,Bond,new_deposit,
2024-06-19,PLTR,Plantir,buy,30,32458,Tech,해외,US individual,new_deposit,
2024-06-24,TSLA,Tesla,buy,5,195269,Tech,해외,US individual,new_deposit,
2024-06-24,385560,Korea Bond 30yr,buy,10,74275,Bond,한국,Bond,new_deposit,
2024-06-24,NVDA,NVDIA,buy,3,195269,Tech,해외,US individual,new_deposit,
2024-06-25,TSLA,Tesla,sell,2,175646,Tech,해외,US individual,new_deposit,
2024-07-04,PLTR,Plantir,buy,10,35525,Tech,해외,US individual,new_deposit,
2024-08-09,TSLA,Tesla,buy,1,145845,Tech,해외,US individual,new_deposit,
2024-08-09,MSFT,Microsoft,buy,1,558759,Tech,해외,US individual,new_deposit,
2024-08-09,NVDA,NVDIA,buy,1,145845,Tech,해외,US individual,new_deposit,
2024-08-12,PLTR,Plantir,buy,1,38709,Tech,해외,US individual,new_deposit,
2024-08-16,PLTR,Plantir,buy,3,41377,Tech,해외,US individual,new_deposit,
2024-08-16,TSLA,Tesla,buy,1,154892,Tech,해외,US individual,new_deposit,
2024-08-16,NVDA,NVDIA,buy,1,154892,Tech,해외,US individual,new_deposit,
2024-09-19,PLTR,Plantir,buy,10,47826,Tech,해외,US individual,new_deposit,
2024-10-14,368590,Nasdaq,buy,40,20350,Tech Index,한국,US Index,new_deposit,
2024-10-14,368590,Nasdaq,buy,50,20320,Tech Index,한국,US Index,new_deposit,
2024-10-14,368590,Nasdaq,buy,5,20310,Tech Index,한국,US Index,new_deposit,
2024-10-15,385560,Korea Bond 30yr,buy,7,77790,Bond,한국,Bond,new_deposit,
2024-10-16,368590,Nasdaq,buy,20,20335,Tech Index,한국,US Index,new_deposit,
2024-10-16,245710,Vietnam VN30,buy,29,21166,Emerging Market,한국,Non-US,new_deposit,
2024-10-17,IONQ,IONQ,buy,40,14919,Tech,해외,US individual,new_deposit,
2024-10-23,368590,Nasdaq,buy,40,20615,Tech Index,한국,US Index,new_deposit,
2024-10-30,PLTR,Plantir,buy,5,62674,Tech,해외,US individual,new_deposit,
2024-10-31,368590,Nasdaq,buy,50,20880,Tech Index,한국,US Index,new_deposit,
2024-10-31,385560,Korea Bond 30yr,sell,10,76780,Bond,한국,Bond,new_deposit,
2024-10-31,245710,Vietnam VN30,buy,12,20585,Emerging Market,한국,Non-US,new_deposit,
2024-11-04,PLTR,Plantir,buy,10,58354,Tech,해외,US individual,new_deposit,
2024-11-04,TSLA,Tesla,buy,2,189200,Tech,해외,US individual,new_deposit,
2024-11-04,NVDA,NVDIA,buy,2,189200,Tech,해외,US individual,new_deposit,
2024-11-06,TSLA,Tesla,buy,1,192175,Tech,해외,US individual,new_deposit,
2024-11-06,GOLD,GOLD,buy,3,123200,Base Material,한국,Base Material,new_deposit,
2024-11-06,NVDA,NVDIA,buy,1,192175,Tech,해외,US individual,new_deposit,
2024-11-07,GOLD,GOLD,buy,1,121060,Base Material,한국,Base Material,new_deposit,
2024-11-12,PLTR,Plantir,sell,4,85652,Tech,해외,US individual,new_deposit,
2024-11-14,385560,Korea Bond 30yr,buy,2,78665,Bond,한국,Bond,new_deposit,
2024-11-14,245710,Vietnam VN30,buy,20,20612,Emerging Market,한국,Non-US,new_deposit,
2024-11-26,245710,Vietnam VN30,buy,3,20230,Emerging Market,한국,Non-US,new_deposit,
2025-01-31,PLTR,Plantir,buy,6,108765,Tech,해외,US individual,new_deposit,
2025-01-31,TSLA,Tesla,buy,12,214221,Tech,해외,US individual,new_deposit,
2025-01-31,TSLA,Tesla,buy,5,183914,Tech,해외,US individual,new_deposit,
2025-01-31,AAPL,Apple,buy,5,329196,Tech,해외,US individual,new_deposit,
2025-01-31,AAPL,Apple,buy,2,324371,Tech,해외,US individual,new_deposit,
2025-01-31,NVDA,NVDIA,buy,12,214221,Tech,해외,US individual,new_deposit,
2025-01-31,NVDA,NVDIA,buy,5,183914,Tech,해외,US individual,new_deposit,
2025-02-04,379780,S&P500,buy,1,19250,US Index,한국,US Index,new_deposit,
2025-02-04,000660,SK Hynix,buy,8,199200,Tech,한국,Korea Individual,new_deposit,
2025-02-28,379780,S&P500,buy,3,18585,US Index,한국,US Index,new_deposit,
2025-03-13,368590,Nasdaq,buy,30,20720,Tech Index,한국,US Index,new_deposit,
2025-03-13,379780,S&P500,buy,23,17675,US Index,한국,US Index,new_deposit,
2025-04-18,368590,Nasdaq,buy,40,19640,Tech Index,한국,US Index,new_deposit,
2025-05-08,PLTR,Plantir,buy,12,158426,Tech,해외,US individual,new_deposit,
2025-06-11,368590,Nasdaq,buy,18,22180,Tech Index,한국,US Index,new_deposit,
2025-07-24,GOLD,GOLD,buy,13,148990,Base Material,한국,Base Material,new_deposit,
2025-07-25,IONQ,IONQ,buy,27,58834,Tech,해외,US individual,new_deposit,
2025-07-25,CRCL,Circle,buy,1,277655,Tech,해외,US individual,new_deposit,
2025-07-25,CRWD,Crowdstrike,buy,3,640434,Tech,해외,US individual,new_deposit,
2025-07-28,368590,Nasdaq,buy,50,23510,Tech Index,한국,US Index,new_deposit,
2025-07-28,385560,Korea Bond 30yr,buy,10,81265,Bond,한국,Bond,new_deposit,
2025-07-28,245710,Vietnam VN30,buy,26,24560,Emerging Market,한국,Non-US,new_deposit,
2025-08-19,CRWD,Crowdstrike,sell,2,596952,Tech,해외,US individual,new_deposit,
2025-09-04,ILIT,Lithium,buy,8,13847,Base Material,해외,Base Material,new_deposit,
2025-09-04,VSAT,Viasat,buy,5,43275,Tech,해외,US individual,new_deposit,
2025-09-04,RKLB,RocketLab,buy,3,65042,Tech,해외,US individual,new_deposit,
2025-09-12,218410,RFHIC,buy,50,29400,Tech,한국,Korea Individual,new_deposit,
2025-09-19,ILIT,Lithium,buy,49,15364,Base Material,해외,Base Material,new_deposit,
2025-09-19,CRCL,Circle,buy,3,201130,Tech,해외,US individual,new_deposit,
2025-10-08,BIL,-,buy,39,130259,Cash,해외,US Index,new_deposit,
2025-10-08,UPRO,-,buy,30,162324,Tech Index,해외,US Index,new_deposit,
2025-10-12,ILIT,Lithium,buy,70,19682,Base Material,해외,Base Material,new_deposit,
2025-10-12,CRCL,Circle,buy,11,192998,Tech,해외,US individual,new_deposit,
2025-10-13,AAPL,Apple,sell,6,363671,Tech,해외,US individual,new_deposit,
2025-10-17,PLTR,Plantir,sell,11,246961,Tech,해외,US individual,new_deposit,
2025-10-17,TSLA,Tesla,sell,2,597895,Tech,해외,US individual,new_deposit,
2025-10-17,IONQ,IONQ,sell,27,89547,Tech,해외,US individual,new_deposit,
2025-10-17,BIL,-,buy,132,130481,Cash,해외,US Index,new_deposit,
2025-10-21,UPRO,-,sell,30,148390,Tech Index,해외,US Index,new_deposit,
2025-10-22,IONQ,IONQ,buy,10,88976,Tech,해외,US individual,new_deposit,
2025-10-22,ILIT,Lithium,buy,24,18794,Base Material,해외,Base Material,new_deposit,
2025-10-22,CRCL,Circle,buy,10,191564,Tech,해외,US individual,new_deposit,
2025-10-22,BIL,-,sell,70,131166,Cash,해외,US Index,new_deposit,
2025-10-22,BIL,-,sell,30,131166,Cash,해외,US Index,new_deposit,
2025-10-22,UPRO,-,buy,57,161662,Tech Index,해외,US Index,new_deposit,
2025-10-22,VSAT,Viasat,buy,2,52547,Tech,해외,US individual,new_deposit,
2025-11-17,CRCL,Circle,sell,20,126268,Tech,해외,US individual,new_deposit,
2025-11-24,MSFT,Microsoft,buy,2,725936,Tech,해외,US individual,new_deposit,
2025-11-24,CRWD,Crowdstrike,buy,1,792590,Tech,해외,US individual,new_deposit,
2025-12-01,DAVE,Dave,buy,3,325077,Tech,해외,US individual,new_deposit,
2025-12-09,BIL,-,sell,15,134446,Cash,해외,US Index,new_deposit,
2026-01-07,PLTR,Plantir,buy,4,253021,Tech,해외,US individual,new_deposit,
2026-01-07,TSLA,Tesla,buy,2,644601,Tech,해외,US individual,new_deposit,
2026-01-07,MSFT,Microsoft,buy,1,685456,Tech,해외,US individual,new_deposit,
2026-01-07,BIL,-,sell,7,132307,Cash,해외,US Index,new_deposit,
2026-01-07,VSAT,Viasat,buy,8,54807,Tech,해외,US individual,new_deposit,
2026-01-12,UPRO,-,sell,5,178910,Tech Index,해외,US Index,new_deposit,
2026-01-12,CTVA,Corteva,buy,10,101893,Agriculture,해외,US individual,new_deposit,
2026-01-26,BIL,-,sell,10,130892,Cash,해외,US Index,new_deposit,
2026-01-26,MU,Micron,buy,1,550052,Tech,해외,US individual,new_deposit,
2026-01-26,B,Barrick,buy,1,71095,Tech,해외,US individual,new_deposit,
2026-01-28,BIL,-,sell,9,132040,Cash,해외,US Index,new_deposit,
2026-01-28,UPRO,-,sell,12,171645,Tech Index,해외,US Index,new_deposit,
2026-01-28,MU,Micron,buy,1,562735,Tech,해외,US individual,new_deposit,
2026-01-28,B,Barrick,buy,9,76049,Tech,해외,US individual,new_deposit,
2026-01-28,270810,KOSDAQ 150,buy,100,19700,Korea Index,한국,Korea Index,new_deposit,
2026-02-02,PLTR,Plantir,sell,12,221151,Tech,해외,US individual,new_deposit,
2026-02-03,IONQ,IONQ,sell,15,59424,Tech,해외,US individual,new_deposit,
2026-02-03,GOOGL,Google,buy,1,492247,Tech,해외,US individual,new_deposit,
2026-02-03,CTVA,Corteva,buy,5,103664,Agriculture,해외,US individual,new_deposit,
2026-02-03,DAVE,Dave,sell,2,237957,Tech,해외,US individual,new_deposit,
2026-02-03,ENPH,Enphase Energy,buy,20,53178,Energy,해외,US individual,new_deposit,
2026-02-03,XLF,XLF,buy,30,78101,Financial,해외,US Index,new_deposit,
2026-02-04,VXUS,VXUS,buy,16,117834,Total Market Index,해외,Non-US,new_deposit,
2026-02-25,AMZN,Amazon,buy,10,300902,Tech,해외,US individual,new_deposit,
2026-02-25,NVDA,NVDIA,buy,8,278742,Tech,해외,US individual,new_deposit,
2026-02-25,MSFT,Microsoft,buy,3,560547,Tech,해외,US individual,new_deposit,
2026-02-25,PLTR,Plantir,buy,10,186250,Tech,해외,US individual,new_deposit,
2026-02-25,GOOGL,Google,buy,2,448915,Tech,해외,US individual,new_deposit,
2026-03-06,UPRO,-,sell,20,165384,Tech Index,해외,US Index,new_deposit,
2026-03-09,UPRO,-,sell,20,152891,Tech Index,해외,US Index,new_deposit,
2026-03-11,218410,RFHIC,sell,20,90500,Tech,한국,Korea Individual,new_deposit,
2026-03-30,BIL,-,sell,10,138969,Cash,해외,US Index,new_deposit,
2026-04-09,BIL,-,sell,10,135283,Cash,해외,US Index,new_deposit,
2026-04-09,PLTR,Plantir,buy,7,192754,Tech,해외,US individual,new_deposit,
2026-04-30,379780,S&P500,buy,23,22960,US Index,한국,US Index,new_deposit,
2026-04-30,102110,KOSPI200,buy,5,100630,Korea Index,한국,Korea Index,new_deposit,
2026-04-30,270810,KOSDAQ 150,buy,50,19890,Korea Index,한국,Korea Index,new_deposit,
2026-04-30,368590,Nasdaq,buy,7,29905,Tech Index,한국,US Index,new_deposit,
2026-04-30,379780,S&P500,buy,40,22990,US Index,한국,US Index,new_deposit,
2026-04-30,CLS,Celestica,buy,2,546786,Tech,해외,US individual,new_deposit,
2026-04-30,ALL,Allstate,buy,3,320272,Tech,해외,US individual,new_deposit,
2026-04-30,BIL,-,sell,10,135620,Cash,해외,US Index,new_deposit,
2026-06-04,PLTR,Plantir,buy,4,237169,Tech,해외,US individual,new_deposit,
2026-06-04,GOOGL,Google,buy,1,552868,Tech,해외,US individual,new_deposit,
2026-06-04,TSLA,Tesla,sell,2,635152,Tech,해외,US individual,new_deposit,
2026-06-04,2328,PICC,sell,2000,2811,Insurance,해외,Non-US,new_deposit,
2026-06-04,ILIT,Lithium,sell,31,31360,Base Material,해외,Base Material,new_deposit,
2026-06-04,ENPH,Enphase Energy,buy,7,102169,Energy,해외,US individual,new_deposit,
2026-06-04,XLF,XLF,sell,10,78883,Financial,해외,US Index,new_deposit,
2026-06-04,CRCL,Circle,buy,5,153997,Tech,해외,US individual,new_deposit,
